Site,Depth,Pot ID,Missing (Y/N),Concrete,Zinc,Pot Condition,Measured Live,Live Average Length (mm),Measured Dead,Dead Average Length (mm),Live Oyster Count,Dead Oyster Count,Percent Live,Legal Oysters,Sublegal Oysters,Barnacles,Bryozoan Percent Cover
MM,Deep,54,N,N,Y,2,0,,0,,0,0,,0,0,0,0
MM,Deep,65,N,N,Y,1,0,,0,,0,0,,0,0,0,90
MM,Deep,134,N,Y,Y,2,0,,0,,0,0,,0,0,0,60
MM,Deep,236,N,N,N,2,0,,0,,0,0,,0,0,4,10
MM,Deep,286,N,N,N,3,0,,0,,0,0,,0,0,0,0
MM,Deep,1010,N,Y,NA,,1,22,0,,1,0,1,0,1,0,80
MM,Deep,1011,N,Y,NA,,0,,0,,0,0,,0,0,0,0
MM,Mid,133,N,Y,N,2,2,23,0,,2,0,1,0,2,0,15
MM,Mid,207,N,Y,Y,2,10,24.6,0,,12,0,1,0,12,0,0
MM,Mid,272,N,N,Y,1,7,27.71428571,0,,7,0,1,0,7,0,20
MM,Mid,280,N,N,Y,1,9,30,0,,9,0,1,1,8,0,0
MM,Mid,284,N,N,Y,3,10,38.7,0,,26,0,1,3,23,0,0
MM,Shallow,137,N,Y,N,1,10,42.1,0,,36,0,1,4,32,33,25
MM,Shallow,219,N,N,N,2,10,37,0,,54,0,1,6,48,19,10
MM,Shallow,257,N,Y,Y,2,10,41.4,0,,10,0,1,3,7,0,30
MM,Shallow,276,N,N,N,2,9,24,0,,9,0,1,0,9,42,15
MM,Shallow,281,N,N,Y,2,10,32.5,0,,13,0,1,0,13,45,12
MM,Shallow,1012,N,Y,NA,,10,27.9,0,,0,0,,0,10,0,0
NRBN,Deep,114,N,Y,Y,2,0,,0,,0,0,,0,0,0,30
NRBN,Deep,131,N,Y,Y,2,0,,0,,0,0,,0,0,0,100
NRBN,Deep,166,N,N,N,2,1,57,0,,0,1,0,0,1,0,70
NRBN,Deep,197,N,Y,Y,2,6,73.5,0,,6,0,1,5,1,0,0
NRBN,Deep,265,N,N,Y,2,0,,0,,0,0,,0,0,0,40
NRBN,Deep,1001,N,Y,NA,,0,,0,,0,0,,0,0,0,30
NRBN,Deep,1002,N,N,NA,,0,,0,,0,0,,0,0,0,70
NRBN,Mid,58,N,N,Y,2,0,,0,,0,0,,0,0,0,3
NRBN,Mid,67,N,N,Y,1,0,,0,,0,0,,0,0,0,5
NRBN,Mid,154,N,N,Y,2,0,,0,,0,0,,0,0,0,10
NRBN,Mid,187,N,Y,Y,1,0,,0,,0,0,,0,0,0,0
NRBN,Mid,204,N,Y,N,2,0,,0,,0,0,,0,0,0,45
NRBN,Mid,241,N,N,N,1,0,,0,,29,0,1,0,29,0,5
NRBN,Mid,273,N,N,Y,2,0,,0,,0,0,,0,0,3,0
NRBN,Shallow,117,N,Y,N,3,10,85.5,,,42,0,1,33,9,60,0
NRBN,Shallow,124,N,Y,Y,2,10,75.5,0,,50,0,1,16,34,0,13
NRBN,Shallow,144,N,N,Y,1,1,37,,,1,0,1,0,1,0,25
NRBN,Shallow,147,N,N,N,1,3,72,1,70,4,1,0.8,0,4,0,3
NRBN,Shallow,209,N,Y,N,1,4,55.25,6,48.33333333,4,6,0.4,3,15,0,20
NRBN,Shallow,210,N,Y,N,2,10,90.2,0,,40,0,1,29,11,0,0
NRBN,Shallow,229,N,N,Y,2,0,,0,,0,0,,0,0,0,4
NRBN,Shallow,267,N,N,Y,2,0,,0,,0,0,,0,0,0,0
NRBS,Deep,170,N,N,Y,1,,,,,0,0,,0,0,0,15
NRBS,Deep,199,N,Y,N,1,,,,,0,0,,0,0,0,100
NRBS,Deep,288,N,Y,Y,1,,,,,0,0,,0,0,0,100
NRBS,Deep,1003,N,N,NA,,1,77,0,,1,0,1,1,0,0,0
NRBS,Mid,1007,N,Y,NA,,6,68.16666667,0,,6,0,1,1,5,0,100
NRBS,Mid,1008,N,N,NA,,,,,,0,0,,0,0,0,0
NRBS,Mid,1009,N,Y,NA,,0,,0,,0,0,,0,0,0,90
NRBS,Shallow,171,N,N,Y,2,10,66.5,0,,59,0,1,12,47,0,5
NRBS,Shallow,193,N,Y,Y,1,10,118.9,0,,88,0,1,88,0,0,0
