Site,Depth,Spider_Crab_Wt,Stone_Crab_Wt,Mud_Crab_Wt,Blue_Crab_Wt,Ghost_Shrimp_Wt,Oyster_Drill_Wt,Total_Predator_Biomass
MM,Deep,0,2,2,0,0,0,4
MM,Deep,0,165,0,0,0,0,165
MM,Deep,0,0,1,0,0,0,0
MM,Mid,0,0,1,0,0,0,1
MM,Mid,0,0,2,0,0,0,2
MM,Mid,0,425,3,0,0,0,428
MM,Mid,0,0,5,0,0,0,5
MM,Shallow,0,270,1,0,0,0,271
MM,Shallow,0,75,2,0,0,0,77
MM,Shallow,0,175,5,0,0,0,180
MM,Shallow,0,1,6,0,0,0,6
MM,Shallow,0,125,2,0,0,0,127
MM,Shallow,0,265,2,150,0,1,418
NRBN,Deep,9,0,12,0,0,1,22
NRBN,Deep,0,21,10,0,0,5,36
NRBN,Deep,0,0,0,0,0,1,1
NRBN,Deep,0,0,10,0,0,2,12
NRBN,Deep,0,0,0,0,0,0,0
NRBN,Deep,0,0,0,0,0,1,1
NRBN,Deep,0,0,16,150,0,0,166
NRBN,Mid,0,0,15,280,0,1,296
NRBN,Mid,0,0,21,0,15,1,37
NRBN,Mid,0,0,3,0,0,1,4
NRBN,Mid,0,0,1,0,0,1,2
NRBN,Mid,0,0,0,200,0,0,200
NRBN,Mid,0,0,101,0,0,0,101
NRBN,Mid,0,0,1,150,0,1,151
NRBS,Deep,53,200,0,0,0,0,253
NRBS,Deep,0,400,31,0,8,1,440
NRBS,Deep,48,0,1,0,0,0,49
NRBS,Deep,0,0,3,0,0,0,3
NRBS,Deep,27,79,32,0,0,0,138
NRBS,Deep,0,0,27,0,0,0,27
NRBS,Deep,0,5,71,200,0,5,281
NRBS,Mid,24,28,5,0,0,3,60
NRBS,Mid,0,360,14,0,0,2,376
NRBS,Mid,60,3,14,0,0,0,77
NRBS,Mid,0,0,5,300,0,0,305
NRBS,Shallow,0,0,0,0,0,0,0
NRBS,Shallow,0,0,0,275,0,0,275
NRBS,Shallow,0,2,1,0,0,0,3
NRBS,Shallow,0,0,0,150,0,0,150
NRBS,Shallow,0,10,0,0,0,0,10
NRBS,Shallow,0,0,0,0,0,0,0
NRBS,Shallow,0,115,0,0,0,0,115
NRM,Shallow,0,7,9,0,0,0,16
NRM,Shallow,0,950,31,0,0,0,981
NRM,Shallow,0,0,2,0,0,0,2
NRM,Shallow,0,400,45,0,0,0,445
NRM,Shallow,0,10,10,0,0,0,20
NRM,Shallow,0,500,10,0,0,0,510
NRM,Shallow,0,0,0,0,0,0,0
NRM,Shallow,0,1600,28,0,4,0,1632
NRM,Shallow,0,0,2,0,0,0,2
NRM,Shallow,0,0,10,100,0,0,110
NRM,Shallow,0,0,0,80,0,0,80
NRBN,Shallow,0,0,2,0,0,31,33
NRBN,Shallow,0,13,49,0,5,0,67
NRBN,Shallow,0,0,0,0,0,4,4
NRBN,Shallow,0,25,35,0,0,31,91
NRBN,Shallow,46,0,1,0,0,21,67
NRBN,Shallow,0,220,34,0,0,5,259
NRBN,Shallow,0,0,0,0,0,36,36
NRBN,Shallow,0,0,20,0,0,28,48
