Site,Depth,Spider_Crab_Count,Stone_Crab_Count,Mud_Crab_Count,Blue_Crab_Count,Ghost_Shrimp_Count,Oyster_Drill_Count,Total_Predator_Count
NRBS,Deep,1,1,0,0,0,0,2
NRBS,Deep,0,1,31,0,3,3,38
NRBS,Deep,1,0,2,0,0,0,3
NRBS,Deep,0,0,3,0,0,0,3
NRBS,Deep,1,5,23,0,0,0,29
NRBS,Deep,0,0,25,0,0,0,25
NRBS,Deep,0,3,56,2,0,2,63
NRBS,Mid,1,2,6,0,0,2,11
NRBS,Mid,0,3,36,0,0,1,40
NRBS,Mid,3,1,18,0,0,0,22
NRBS,Mid,0,0,4,2,0,0,6
NRBS,Shallow,0,0,0,0,0,0,0
NRBS,Shallow,0,0,0,2,0,0,2
NRBS,Shallow,0,1,1,0,0,0,2
NRBS,Shallow,0,0,0,1,0,0,1
NRBS,Shallow,0,1,0,0,0,0,1
NRBS,Shallow,0,0,0,0,0,0,0
NRBS,Shallow,0,2,0,0,0,0,2
NRM,Shallow,0,1,23,0,0,0,24
NRM,Shallow,0,15,14,0,0,0,29
NRM,Shallow,0,0,2,0,0,0,2
NRM,Shallow,0,4,2,0,0,0,6
NRM,Shallow,0,2,11,0,0,0,13
NRM,Shallow,0,5,2,0,0,0,7
NRM,Shallow,0,0,0,0,0,0,0
NRM,Shallow,0,10,10,0,1,0,21
NRM,Shallow,0,0,1,0,0,0,1
NRM,Shallow,0,0,3,1,0,0,4
NRM,Shallow,0,0,0,1,0,0,1
NRBN,Shallow,0,0,1,0,0,28,29
NRBN,Shallow,0,1,3,0,1,0,5
NRBN,Shallow,0,0,0,0,0,2,2
NRBN,Shallow,0,1,9,0,0,12,22
NRBN,Shallow,1,0,1,0,0,12,14
NRBN,Shallow,0,18,8,0,0,5,31
NRBN,Shallow,0,0,0,0,0,23,23
NRBN,Shallow,0,0,6,0,0,7,13
NRBN,Mid,0,0,5,2,0,1,8
NRBN,Mid,0,0,8,0,2,1,11
NRBN,Mid,0,0,2,0,0,1,3
NRBN,Mid,0,0,1,0,0,1,2
NRBN,Mid,0,0,0,2,0,0,2
NRBN,Mid,0,0,16,0,0,0,16
NRBN,Mid,0,0,1,1,0,1,3
NRBN,Deep,1,0,2,0,0,1,4
NRBN,Deep,0,2,7,0,0,4,13
NRBN,Deep,0,0,0,0,0,2,2
NRBN,Deep,0,0,8,0,0,3,11
NRBN,Deep,0,0,0,0,0,0,0
NRBN,Deep,0,0,0,0,0,2,2
NRBN,Deep,0,0,7,1,0,0,8
MM,Mid,0,0,6,0,0,0,6
MM,Mid,0,0,17,0,0,0,17
MM,Mid,0,1,16,0,0,0,17
MM,Mid,0,0,21,0,0,0,21
MM,Shallow,0,2,8,0,0,0,10
MM,Shallow,0,1,6,0,0,0,7
MM,Shallow,0,1,1,0,0,0,2
MM,Shallow,0,1,9,0,0,0,10
MM,Shallow,0,1,8,0,0,0,9
MM,Shallow,0,3,18,1,0,1,23
MM,Deep,0,2,7,0,0,0,9
MM,Deep,0,1,0,0,0,0,1
MM,Deep,0,0,2,0,0,0,2
