Creek,Recovery Date,Location_along_Creek,PotID,Portion_of_Sample,Dead_or_Unknown,Box_Count,Dead_Box,Mussel_Count,Live_Oyster_Count,Standardized_Live_Oyster_Counts,Live_out_of_Total,Percent_Live,Avg_Oys_Length,Averagelengthgreater50mm,CountGreater50mm,Portion_of_Sample,standardizedctover50
GC,10/23/2013,Lower,6,0.25,15,12,27,9,69,276,0.71875,71.875,32.52173913,63.33333333,36,0.25,144
GC,10/25/2013,Lower,7,0.5,28,7,35,16,67,134,0.656862745,65.6862745,38.98507463,82.125,24,0.5,48
GC,10/23/2013,Lower,8,0.5,11,0,11,2,53,106,0.828125,82.8125,36.22641509,72.875,16,0.5,32
GC,10/23/2013,Lower,9,0.5,184,0,184,20,87,174,0.32103321,32.103321,36.29885057,65.64285714,28,0.5,56
GC,10/23/2013,Lower,10,0.25,27,6,33,7,46,184,0.582278481,58.2278481,36.91304348,70.28571429,28,0.25,112
GC,10/23/2013,Low-Mid,12,0.25,43,0,43,4,59,236,0.578431373,57.8431373,46.76271186,76.04545455,88,0.25,352
GC,10/23/2013,Low-Mid,13,0.25,101,27,128,13,108,432,0.457627119,45.7627119,45.5,76.45714286,140,0.25,560
GC,10/23/2013,Low-Mid,14,0.5,112,0,112,13,102,204,0.476635514,47.6635514,41.73529412,73.45454545,44,0.5,88
GC,10/23/2013,Low-Mid,15,0.25,39,14,53,4,45,180,0.459183673,45.9183673,50.15555556,80.65625,64,0.25,256
GC,1?,Low-Mid,17,0.5,42,0,42,2,126,252,0.75,75,45.82539683,82.34285714,70,0.5,140
GC,10/23/2013,Low-Upper,18,0.25,58,35,93,5,66,264,0.41509434,41.509434,47.63636364,64,2,0.25,8
GC,10/23/2013,Low-Upper,20,0.25,98,34,132,2,61,244,0.316062176,31.6062176,39.95081967,63.66666667,3,0.25,12
GC,?,Low-Upper,26,0.5,129,0,129,9,144,288,0.527472527,52.7472527,39.92361111,64.16666667,3,0.5,6
GC,10/23/2013,Low-Upper,28,0.25,68,40,108,4,113,452,0.511312217,51.1312217,39.67699115,51,1,0.25,4
GC,10/23/2013,Low-Upper,29,0.5,58,0,58,2,59,118,0.504273504,50.4273504,37.3220339,66.36363636,22,0.5,44
GC,10/23/2013,Mid,31,1,2,0,2,0,20,20,0.909090909,90.9090909,40.175,77.97619048,84,1,84
GC,10/23/2013,Mid,32,1,5,0,5,0,27,27,0.84375,84.375,37.75925926,73.76923077,52,1,52
GC,10/23/2013,Mid,33,1,4,0,4,0,10,10,0.714285714,71.4285714,48.45,80.42307692,52,1,52
GC,10/23/2013,Mid,34,1,5,0,5,1,15,15,0.75,75,36.33333333,68.875,56,1,56
GC,10/23/2013,Mid,35,0.5,3,2,5,1,44,88,0.897959184,89.7959184,42.88636364,68.875,16,0.5,32
GC,10/23/2013,Upper,36,1,0,0,0,0,12,12,1,100,50.54166667,59.5625,8,1,8
GC,10/23/2013,Upper,37,1,2,0,2,0,13,13,0.866666667,86.6666667,46.5,69.3,5,1,5
GC,10/23/2013,Upper,38,1,1,0,1,0,19,19,0.95,95,53.76315789,67.55,10,1,10
GC,10/23/2013,Upper,39,1,0,0,0,0,15,15,1,100,51.83333333,67.33333333,6,1,6
GC,10/23/2013,Upper,40,1,1,0,1,0,24,24,0.96,96,45.20833333,65.4375,8,1,8
OC,,Low-Upper,2,1,4,4,8,12,39,39,0.829787234,82.9787234,54.67948718,67.25,8,1,8
OC,10/24/2013,Low-Mid,3,1,2,2,4,3,27,27,0.870967742,87.0967742,52.74074074,67,8,1,8
